Date,Close
5/1/2005,.
6/1/2005,415.35
7/1/2005,432.6
8/1/2005,431.65
9/1/2005,439.6
10/1/2005,466.1
11/1/2005,459.5
12/1/2005,499.75
1/1/2006,.
2/1/2006,568.25
3/1/2006,564.25
4/1/2006,587
5/1/2006,.
6/1/2006,625
7/1/2006,622.95
8/1/2006,637.25
9/1/2006,621.05
10/1/2006,600.6
11/1/2006,614.1
12/1/2006,648.75
1/1/2007,.
2/1/2007,660.2
3/1/2007,670.4
4/1/2007,658.25
5/1/2007,673.6
6/1/2007,666.5
7/1/2007,654.75
8/1/2007,665.75
9/1/2007,672
10/1/2007,742.5
11/1/2007,790.25
12/1/2007,784.25
1/1/2008,.
2/1/2008,914.75
3/1/2008,988.5
4/1/2008,887.75
5/1/2008,853
6/1/2008,888.25
7/1/2008,937.5
8/1/2008,912.5
9/1/2008,822.25
10/1/2008,880
11/1/2008,729.5
12/1/2008,778
1/1/2009,.
2/1/2009,918.25
3/1/2009,937.25
4/1/2009,924.5
5/1/2009,884.5
6/1/2009,981.75
7/1/2009,938.25
8/1/2009,959.75
9/1/2009,955
10/1/2009,1004.75
11/1/2009,1062
12/1/2009,1192.5
1/1/2010,.
2/1/2010,1086.5
3/1/2010,1114
4/1/2010,1123.5
5/1/2010,.
6/1/2010,1227.75
7/1/2010,1234
8/1/2010,1188.5
9/1/2010,1246.5
10/1/2010,1316.25
11/1/2010,1354.5
12/1/2010,1385.5
1/1/2011,.
2/1/2011,1331.5
3/1/2011,1420.75
4/1/2011,1418
5/1/2011,.
6/1/2011,1533.75
7/1/2011,1483
8/1/2011,1623
9/1/2011,1821
10/1/2011,1655.5
11/1/2011,1699
12/1/2011,1752
1/1/2012,.
2/1/2012,1740
3/1/2012,1714
4/1/2012,1677.5
5/1/2012,1664
6/1/2012,1606
7/1/2012,1592
8/1/2012,1599
9/1/2012,1691.5
10/1/2012,1787
11/1/2012,1716.25
12/1/2012,1720
1/1/2013,.
2/1/2013,1669
3/1/2013,1582.25
4/1/2013,.
5/1/2013,1454.75
6/1/2013,1402.5
7/1/2013,1242.75
8/1/2013,1315
9/1/2013,1392.25
10/1/2013,1290.75
11/1/2013,1306.75
12/1/2013,1229.5
1/1/2014,.
2/1/2014,1262
3/1/2014,1349.5
4/1/2014,1283.75
5/1/2014,1278.5
6/1/2014,1247.25
7/1/2014,1327.5
8/1/2014,1291.25
9/1/2014,1286.5
10/1/2014,1216.5
11/1/2014,1167.75
12/1/2014,1194
1/1/2015,.
2/1/2015,1272.5
3/1/2015,1212.5
4/1/2015,1197
5/1/2015,1175.95
6/1/2015,1199.9
7/1/2015,1168
8/1/2015,1091.9
9/1/2015,1142.3
10/1/2015,1119
11/1/2015,1134
12/1/2015,1065.4
1/1/2016,.
2/1/2016,1126.5
3/1/2016,1236.5
4/1/2016,1213.6
5/1/2016,.
6/1/2016,1214.5
7/1/2016,1340
8/1/2016,1349.65
9/1/2016,1309.5
10/1/2016,1313.3
11/1/2016,1288.45
12/1/2016,1161.85
1/1/2017,.
2/1/2017,1203.65
3/1/2017,1240.4
4/1/2017,1247.25
5/1/2017,.
6/1/2017,1264.85
7/1/2017,1229.25
8/1/2017,1270.95
9/1/2017,1320.4
10/1/2017,1273.7
11/1/2017,1277.05
12/1/2017,1275.5
1/1/2018,.
2/1/2018,1341.35
3/1/2018,1307.75
4/1/2018,.
5/1/2018,1307.1
6/1/2018,1294.6
7/1/2018,1247.8
8/1/2018,1219
9/1/2018,1200.05
10/1/2018,1189.35
11/1/2018,1231.15
12/1/2018,1230.3
1/1/2019,.
2/1/2019,1318.7
3/1/2019,1311.95
